Timestamp,WH AMBIENT,COLD WATER INLET
2024-03-07 08:49:07,68.9,69.44
2024-03-07 08:50:07,69.08,69.44
2024-03-07 08:51:07,69.08,69.44
2024-03-07 08:52:07,69.08,69.44
2024-03-07 08:53:07,69.08,69.44
2024-03-07 08:54:07,69.08,69.44
2024-03-07 08:55:07,69.08,69.44
2024-03-07 08:56:07,69.08,69.44
2024-03-07 08:57:07,69.08,69.44
2024-03-07 08:58:07,69.08,69.44
2024-03-07 08:59:07,69.08,69.44
2024-03-07 09:00:07,69.08,69.44
2024-03-07 09:01:07,69.08,69.44
2024-03-07 09:02:08,69.08,69.44
2024-03-07 09:03:08,69.08,69.44
2024-03-07 09:04:08,69.08,69.44
2024-03-07 09:05:08,69.08,69.44
2024-03-07 09:06:08,69.08,69.44
2024-03-07 09:07:08,69.08,69.44
2024-03-07 09:08:08,69.08,69.44
2024-03-07 09:09:08,69.08,69.44
2024-03-07 09:10:08,69.26,69.44
2024-03-07 09:11:08,69.44,69.44
2024-03-07 09:12:08,69.44,69.44
2024-03-07 09:13:08,69.44,69.44
2024-03-07 09:14:08,69.44,69.44
2024-03-07 09:15:08,69.44,69.44
2024-03-07 09:16:08,69.44,69.44
2024-03-07 09:17:08,69.62,69.62
2024-03-07 09:18:08,69.62,69.44
2024-03-07 09:19:08,69.62,69.62
2024-03-07 09:20:09,69.62,69.44
2024-03-07 09:21:09,69.62,69.62
2024-03-07 09:22:09,69.62,69.62
2024-03-07 09:23:09,69.62,69.44
2024-03-07 09:24:09,69.62,69.44
2024-03-07 09:25:09,69.62,69.44
2024-03-07 09:26:09,69.62,69.44
2024-03-07 09:27:09,69.8,69.44
2024-03-07 09:28:09,69.62,69.44
2024-03-07 09:29:09,69.8,69.44
2024-03-07 09:30:09,69.8,69.44
2024-03-07 09:31:09,69.8,69.44
2024-03-07 09:32:09,69.62,69.44
2024-03-07 09:33:09,69.62,69.44
2024-03-07 09:34:09,69.62,69.44
2024-03-07 09:35:09,69.62,69.44
2024-03-07 09:36:09,69.8,69.62
2024-03-07 09:37:09,69.62,69.62
2024-03-07 09:38:10,69.62,69.44
2024-03-07 09:39:10,69.62,69.62
2024-03-07 09:40:10,69.62,69.62
2024-03-07 09:41:10,69.8,69.62
2024-03-07 09:42:10,69.98,69.44
2024-03-07 09:43:10,69.8,69.62
2024-03-07 09:44:10,69.98,69.62
2024-03-07 09:45:10,69.8,69.62
2024-03-07 09:46:10,69.8,69.62
2024-03-07 09:47:10,69.8,69.62
2024-03-07 09:48:10,69.8,69.98
2024-03-07 09:49:10,69.8,69.8
2024-03-07 09:50:10,69.8,69.8
2024-03-07 09:51:10,69.8,69.8
2024-03-07 09:52:10,69.62,69.8
2024-03-07 09:53:10,69.62,69.8
2024-03-07 09:54:10,69.62,69.8
2024-03-07 09:55:10,69.62,69.98
2024-03-07 09:56:11,69.62,69.98
2024-03-07 09:57:11,69.62,68.0
2024-03-07 09:58:11,69.62,63.86
2024-03-07 09:59:11,69.62,48.56
2024-03-07 10:00:11,69.62,46.58
2024-03-07 10:01:11,69.62,45.32
2024-03-07 10:02:11,69.62,44.96
2024-03-07 10:03:11,69.62,45.68
2024-03-07 10:04:11,69.62,46.22
2024-03-07 10:05:11,69.62,46.76
2024-03-07 10:06:11,69.62,48.02
2024-03-07 10:07:11,69.62,48.38
2024-03-07 10:08:11,69.8,48.92
2024-03-07 10:09:11,69.62,49.46
2024-03-07 10:10:11,69.62,49.82
2024-03-07 10:11:11,69.62,51.44
2024-03-07 10:12:11,69.62,51.98
2024-03-07 10:13:11,69.62,52.16
2024-03-07 10:14:11,69.8,52.7
2024-03-07 10:15:12,69.8,53.24
2024-03-07 10:16:12,69.98,53.78
2024-03-07 10:17:12,69.8,54.14
2024-03-07 10:18:12,69.8,55.22
2024-03-07 10:19:12,69.8,55.58
2024-03-07 10:20:12,69.98,56.66
2024-03-07 10:21:12,69.8,57.02
2024-03-07 10:22:12,69.62,57.56
2024-03-07 10:23:12,69.62,57.92
2024-03-07 10:24:12,69.62,58.64
2024-03-07 10:25:12,69.62,58.82
2024-03-07 10:26:12,69.62,59.36
2024-03-07 10:27:12,69.62,60.08
2024-03-07 10:28:12,69.62,60.26
2024-03-07 10:29:12,69.62,60.44
2024-03-07 10:30:12,69.62,60.8
2024-03-07 10:31:12,69.62,61.34
2024-03-07 10:32:12,69.62,61.52
2024-03-07 10:33:13,69.62,62.06
2024-03-07 10:34:13,69.62,62.42
2024-03-07 10:35:13,69.62,62.6
2024-03-07 10:36:13,69.62,63.32
2024-03-07 10:37:13,69.62,63.32
2024-03-07 10:38:13,69.44,63.68
2024-03-07 10:39:13,69.44,64.04
2024-03-07 10:40:13,69.62,64.22
2024-03-07 10:41:13,69.62,64.58
2024-03-07 10:42:13,69.62,65.12
2024-03-07 10:43:13,69.62,65.3
2024-03-07 10:44:13,69.62,65.48
2024-03-07 10:45:13,69.62,65.84
2024-03-07 10:46:13,69.44,66.02
2024-03-07 10:47:13,69.62,66.38
2024-03-07 10:48:13,69.44,66.56
2024-03-07 10:49:13,69.44,67.1
2024-03-07 10:50:13,69.62,67.28
2024-03-07 10:51:14,69.62,67.46
2024-03-07 10:52:14,69.62,67.46
2024-03-07 10:53:14,69.62,67.64
2024-03-07 10:54:14,69.62,67.82
2024-03-07 10:55:14,69.62,68.18
2024-03-07 10:56:14,69.62,68.0
2024-03-07 10:57:14,69.62,68.36
2024-03-07 10:58:14,69.62,68.36
